id,bab,japanese,furigana,raw_display,romaji,indonesian
458,13,タイプ,タイプ,タイプ,taipu,tipe
459,13,ちょ金します,ちょきんします,ちょ金(きん)します,chokinshimasu,menabung
460,13,つかれます,つかれます,つかれます,tsukaremasu,cape/lelah
461,13,とうろくします,とうろくします,とうろくします,tourokushimasu,mendaftarkan
462,13,どこか,どこか,どこか,dokoka,sesuatu tempat
463,13,何か,なにか,何(なに)か,nanika,sesuatu/untuk benda
464,13,ほしい,ほしい,ほしい,hoshii,ingin
465,13,むかえます,むかえます,むかえます,mukaemasu,menjemput
466,13,ようせつ,ようせつ,ようせつ,yousetsu,LAS(menyambung logam)
467,14,言います,いいます,言(い)います,iimasu,berkata
468,14,いっしょうけんめい,いっしょうけんめい,いっしょうけんめい,isshoukenmei,bersungguh-sungguh
469,14,いむしつ,いむしつ,いむしつ,imushitsu,ruang perawatan/tempat praktek dokter(klinik)
470,14,エアコン,エアコン,エアコン,eakon,AC(Air Conditioner)
471,14,おくさん,おくさん,おくさん,okusan,nyonya/istri orang lain
472,14,おぼえます,おぼえます,おぼえます,oboemasu,mengingat
473,14,かど,かど,かど,kado,belokan
474,14,きっさてん,きっさてん,きっさてん,kissaten,kedai kopi/cafe
475,14,きゅうきゅうしゃ,きゅうきゅうしゃ,きゅうきゅうしゃ,kyuukyuusha,ambulance
476,14,空こう,くうこう,空(くう)こう,kuukou,bandara
477,14,けっこうです,けっこうです,けっこうです,kekkoudesu,cukup
478,14,さぎょうふく,さぎょうふく,さぎょうふく,sagyoufuku,pakaian kerja
479,14,しお,しお,しお,shio,garam
480,14,しょうらい,しょうらい,しょうらい,shourai,masa depan
481,14,スキーします,スキーします,スキーします,suki-shimasu,bermain ski
482,14,スケートします,スケートします,スケートします,suke-toshimasu,bermain sket
483,14,せつめいします,せつめいします,せつめいします,setsumeishimasu,menguraikan/menjelaskan
484,14,ちず,ちず,ちず,chizu,peta
485,14,ちゅうりんじょう,ちゅうりんじょう,ちゅうりんじょう,chuurinjou,tempat parkir sepeda
486,14,ちょうれい,ちょうれい,ちょうれい,chourei,apel pagi
487,14,つかいかた,つかいかた,つかいかた,tsukaikata,cara penggunaan
488,14,つま,つま,つま,tsuma,istri (sendiri)
489,14,手つだいます,てつだいます,手(て)つだいます,tetsudaimasu,membantu
490,14,とび,とび,とび,tobi,mendirikan perancah bangunan
491,14,のうき,のうき,のうき,nouki,batas waktu
492,14,パスポート,パスポート,パスポート,pasupo-to,paspor
493,14,話します,はなします,話(はな)します,hanashimasu,berbicara
494,14,プール,プール,プール,pu-ru,kolam renang
495,14,ふります,ふります,ふります,furimasu,turun(hujan)
496,14,まがります,まがります,まがります,magarimasu,berbelok/belok
497,14,まちます,まちます,まちます,machimasu,menunggu
498,14,むすこ,むすこ,むすこ,musuko,anak laki-laki (sendiri)
499,14,もちます,もちます,もちます,mochimasu,membawa
500,14,ゆっくり,ゆっくり,ゆっくり,yukkuri,perlahan-lahan
501,14,よびます,よびます,よびます,yobimasu,memanggil
502,14,ロッカールーム,ロッカールーム,ロッカールーム,rokka-ru-mu,ruang locker
503,15,あけます,あけます,あけます,akemasu,membuka
504,15,あつまります,あつまります,あつまります,atsumarimasu,berkumpul
505,15,後で,あとで,後(あと)で,atode,nanti
506,15,アパート,アパート,アパート,apa-to,apartemen
507,15,入口,いりぐち,入口(いりぐち),iriguchi,pintu masuk
508,15,いしゃ,いしゃ,いしゃ,isha,dokter
509,15,いろいろな,いろいろな,いろいろな,iroirona,bermacam-macam/macam-macam
510,15,うたいます,うたいます,うたいます,utaimasu,bernyanyi
511,15,うります,うります,うります,urimasu,menjual
512,15,え,え,え,e,gambar
513,15,エンジニア,エンジニア,エンジニア,enjinia,ahli mesin
514,15,大ぜい,おおぜい,大(おお)ぜい,oozei,banyak (orang)
515,15,おかし,おかし,おかし,okashi,makanan ringan
516,15,おきます,おきます,おきます,okimasu,meletakan/meletakkan
517,15,外国,がいこく,外国(がいこく),gaikoku,luar negeri
518,15,かまいません,かまいません,かまいません,kamaimasen,tidak apa-apa/tidak masalah
519,15,きそく,きそく,きそく,kisoku,peraturan
520,15,きます,きます,きます,kimasu,memakai (pakaian)
521,15,けっこんします,けっこんします,けっこんします,kekkonshimasu,menikah
522,15,高校生,こうこうせい,高校生(こうこうせい),koukousei,murid SMU
523,15,こえ,こえ,こえ,koe,suara
524,15,コップ,コップ,コップ,koppu,gelas
525,15,コンピューター,コンピューター,コンピューター,konpyu-ta-,komputer
526,15,さき,さき,さき,saki,tadi
527,15,さわります,さわります,さわります,sawarimasu,menyentuh
528,15,時間,じかん,時間(じかん),jikan,waktu
529,15,しつもんします,しつもんします,しつもんします,shitsumonshimasu,bertanya
530,15,しめます,しめます,しめます,shimemasu,menutup
531,15,じゅうしょ,じゅうしょ,じゅうしょ,juusho,alamat
532,15,小学校,しょうがっこう,小学校(しょうがっこう),shougakkou,SD (Sekolah Dasar)
533,15,しります,しります,しります,shirimasu,mengetahui/mengenal
534,15,すみます,すみます,すみます,sumimasu,tinggal/menetap
535,15,せつめい書,せつめいしょ,せつめい書(しょ),setsumeisho,buku panduan/buku penjelasan
536,15,たいへん,たいへん,たいへん,taihen,repot
537,15,たとえば,たとえば,たとえば,tatoeba,misalnya/contoh
538,15,中学校,ちゅうがっこう,中学校(ちゅうがっこう),chuugakkou,SMP
539,15,つとめます,つとめます,つとめます,tsutomemasu,bekerja
540,15,手ぶくろ,てぶくろ,手(て)ぶくろ,tebukuro,sarung tangan
541,15,出ます,でます,出(で)ます,demasu,keluar
542,15,出口,でぐち,出口(でぐち),deguchi,pintu keluar
543,15,ドア,ドア,ドア,doa,pintu
544,15,とおリます,とおリます,とおリます,toorimasu,melewati/melalui
545,15,長い,ながい,長(なが)い,nagai,panjang
546,15,にもつ,にもつ,にもつ,nimotsu,barang bawaan
547,15,入ります,はいります,入(はい)ります,hairimasu,masuk
548,15,はきます,はきます,はきます,hakimasu,"memakai (sepatu, celana dll)"
549,15,はん長,はんちょう,はん長(ちょう),hanchou,kepala regu
550,15,びじゅつかん,びじゅつかん,びじゅつかん,bijutsukan,gedung kesenian
551,15,左がわ,ひだりがわ,左(ひだり)がわ,hidarigawa,sebelah kiri
552,15,ふとい,ふとい,ふとい,futoi,gemuk
553,15,ほそい,ほそい,ほそい,hosoi,kurus
554,15,右がわ,みぎがわ,右(みぎ)がわ,migigawa,sebelah kanan
555,15,ワイヤー,ワイヤー,ワイヤー,waiya-,kawat
556,16,上げます,あげます,上(あ)げます,agemasu,mengangkat
557,16,あたまがいい,あたまがいい,あたまがいい,atamagaii,pintar
558,16,後かたづけ,あとかたづけ,後(あと)かたづけ,atokatazuke,merapikan kembali
559,16,あびます,あびます,あびます,abimasu,mandi
560,16,あらいます,あらいます,あらいます,araimasu,mencuci
561,16,いろ,いろ,いろ,iro,warna
562,16,おふろ,おふろ,おふろ,ofuro,bak berendam
563,16,おります,おります,おります,orimasu,turun
564,16,買いものします,かいものします,買(か)いものします,kaimonoshimasu,berbelanja
565,16,カーテン,カーテン,カーテン,ka-ten,gorden/tirai
566,16,かお,かお,かお,kao,muka/wajah
567,16,かがみ,かがみ,かがみ,kagami,cermin
568,16,かぎをかけます,かぎをかけます,かぎをかけます,kagiwokakemasu,mengunci
569,16,確認します,かくにんします,確認(かくにん)します,kakuninshimasu,menegaskan kembali
570,16,かみ,かみ,かみ,kami,kertas/rambut
571,16,カレーライス,カレーライス,カレーライス,kare-raisu,nasi kare
572,16,危険,きけん,危険(きけん),kiken,bahaya
573,16,ケーキ,ケーキ,ケーキ,ke-ki,kue (tar)
574,16,子ども,こども,子(こ)ども,kodomo,anak-anak
575,16,さんぽします,さんぽします,さんぽします,sanposhimasu,jalan-jalan
576,16,じっしゅうします,じっしゅうします,じっしゅうします,jisshuushimasu,praktek
577,16,シャワー,シャワー,シャワー,shawa-,mandi shower
578,16,じゅんびします,じゅんびします,じゅんびします,junbishimasu,mempersiapkan
579,16,じょうぶ,じょうぶ,じょうぶ,joubu,kuat
580,16,せまい,せまい,せまい,semai,sempit
581,16,そります,そります,そります,sorimasu,mencukur (kumis/jenggot)
582,16,ダンス,ダンス,ダンス,dansu,tarian/dansa
583,16,電話をかけます,でんわをかけます,電話(でんわ)をかけます,denwawokakemasu,menelepon
